method,split,mean_success,ci95_success,mean_slip,ci95_slip,drop_rate,collision_rate,unsafe_force_rate,mean_energy,sampled_candidates,episodes,seeds
antipodal_geometry,clutter_collision,0.3400,0.1326,0.0598,0.0092,0.1000,0.6200,0.0000,2.6465,1.00,50,5
antipodal_geometry,combined_composition_shift,0.0800,0.0760,0.0944,0.0177,0.5600,0.8400,0.0000,3.1881,1.00,50,5
antipodal_geometry,seen_simple,0.8400,0.1026,0.0690,0.0091,0.0000,0.0000,0.0000,2.2474,1.00,50,5
antipodal_geometry,slippery_contact,0.2600,0.1228,0.0950,0.0108,0.6600,0.0000,0.0000,1.9843,1.00,50,5
antipodal_geometry,task_constraint_shift,0.0800,0.0760,0.0615,0.0071,0.6400,0.0000,0.0000,2.3696,1.00,50,5
antipodal_geometry,unseen_dimensions,0.7400,0.1228,0.0665,0.0125,0.1400,0.0000,0.0000,3.8624,1.00,50,5
antipodal_geometry,unseen_shape_family,0.4000,0.1372,0.0654,0.0090,0.0200,0.0000,0.0000,2.9981,1.00,50,5
cem_grasp_search,clutter_collision,0.3000,0.1283,0.0690,0.0114,0.0800,0.5800,0.0000,2.7883,1.00,50,5
cem_grasp_search,combined_composition_shift,0.1000,0.0840,0.0807,0.0163,0.3600,0.8200,0.0000,3.9600,1.00,50,5
cem_grasp_search,seen_simple,0.7800,0.1160,0.0655,0.0103,0.0000,0.0000,0.0000,2.4757,1.00,50,5
cem_grasp_search,slippery_contact,0.4400,0.1390,0.0741,0.0100,0.5000,0.0000,0.0000,2.1001,1.00,50,5
cem_grasp_search,task_constraint_shift,0.1800,0.1076,0.0709,0.0069,0.7600,0.0000,0.0000,0.8205,1.00,50,5
cem_grasp_search,unseen_dimensions,0.6800,0.1306,0.0649,0.0117,0.3200,0.0000,0.0000,3.4455,1.00,50,5
cem_grasp_search,unseen_shape_family,0.8600,0.0972,0.0581,0.0100,0.0000,0.0000,0.0000,3.3367,1.00,50,5
ebm_transformer_compositional,clutter_collision,0.4200,0.1382,0.0610,0.0110,0.0800,0.4600,0.0000,2.6835,1.00,50,5
ebm_transformer_compositional,combined_composition_shift,0.0800,0.0760,0.0848,0.0246,0.4200,0.8200,0.0000,3.5738,1.00,50,5
ebm_transformer_compositional,seen_simple,0.9200,0.0760,0.0463,0.0090,0.0000,0.0000,0.0000,2.3857,1.00,50,5
ebm_transformer_compositional,slippery_contact,0.4600,0.1396,0.0749,0.0107,0.4800,0.0000,0.0000,2.0405,1.00,50,5
ebm_transformer_compositional,task_constraint_shift,0.9200,0.0760,0.0546,0.0085,0.0200,0.0000,0.0000,1.6507,1.00,50,5
ebm_transformer_compositional,unseen_dimensions,0.9400,0.0665,0.0481,0.0085,0.0400,0.0000,0.0000,2.2163,1.00,50,5
ebm_transformer_compositional,unseen_shape_family,0.8800,0.0910,0.0548,0.0096,0.0000,0.0000,0.0000,3.1274,1.00,50,5
ensemble_uncertainty_ranker,clutter_collision,0.4600,0.1396,0.0539,0.0090,0.0600,0.4800,0.0000,2.7169,1.00,50,5
ensemble_uncertainty_ranker,combined_composition_shift,0.1000,0.0840,0.0830,0.0142,0.4400,0.8200,0.0000,3.5636,1.00,50,5
ensemble_uncertainty_ranker,seen_simple,1.0000,0.0000,0.0419,0.0080,0.0000,0.0000,0.0000,2.4426,1.00,50,5
ensemble_uncertainty_ranker,slippery_contact,0.9800,0.0392,0.0546,0.0075,0.0000,0.0000,0.0000,2.1321,1.00,50,5
ensemble_uncertainty_ranker,task_constraint_shift,0.9200,0.0760,0.0586,0.0083,0.0000,0.0000,0.0000,1.6218,1.00,50,5
ensemble_uncertainty_ranker,unseen_dimensions,0.9800,0.0392,0.0522,0.0080,0.0000,0.0000,0.0000,1.7416,1.00,50,5
ensemble_uncertainty_ranker,unseen_shape_family,0.9400,0.0665,0.0508,0.0088,0.0000,0.0000,0.0000,3.0425,1.00,50,5
force_closure_score,clutter_collision,0.2800,0.1257,0.0583,0.0126,0.1200,0.6600,0.0000,2.8156,1.00,50,5
force_closure_score,combined_composition_shift,0.1400,0.0972,0.0857,0.0169,0.3600,0.7800,0.0000,3.5449,1.00,50,5
force_closure_score,seen_simple,0.9400,0.0665,0.0508,0.0093,0.0000,0.0000,0.0000,2.4710,1.00,50,5
force_closure_score,slippery_contact,0.4800,0.1399,0.0803,0.0091,0.5000,0.0000,0.0000,2.1775,1.00,50,5
force_closure_score,task_constraint_shift,0.2800,0.1257,0.0619,0.0066,0.7000,0.0000,0.0000,0.9471,1.00,50,5
force_closure_score,unseen_dimensions,0.6600,0.1326,0.0684,0.0121,0.3000,0.0000,0.0000,3.4849,1.00,50,5
force_closure_score,unseen_shape_family,0.8000,0.1120,0.0644,0.0100,0.0000,0.0000,0.0000,3.1807,1.00,50,5
mlp_energy_model,clutter_collision,0.5000,0.1400,0.0507,0.0101,0.1200,0.4600,0.0000,2.3369,1.00,50,5
mlp_energy_model,combined_composition_shift,0.1400,0.0972,0.0754,0.0154,0.4000,0.8400,0.0000,3.6247,1.00,50,5
mlp_energy_model,seen_simple,0.9800,0.0392,0.0342,0.0071,0.0200,0.0000,0.0000,2.3057,1.00,50,5
mlp_energy_model,slippery_contact,0.8200,0.1076,0.0550,0.0091,0.0800,0.0000,0.0000,1.9844,1.00,50,5
mlp_energy_model,task_constraint_shift,0.8000,0.1120,0.0686,0.0091,0.0200,0.0000,0.0000,1.8014,1.00,50,5
mlp_energy_model,unseen_dimensions,0.9400,0.0665,0.0421,0.0081,0.0200,0.0000,0.0000,2.3730,1.00,50,5
mlp_energy_model,unseen_shape_family,0.9800,0.0392,0.0429,0.0080,0.0000,0.0000,0.0000,2.9549,1.00,50,5
oracle_mujoco_grid,clutter_collision,0.7600,0.1196,0.0460,0.0092,0.0000,0.2000,0.0000,2.6114,6.00,50,5
oracle_mujoco_grid,combined_composition_shift,0.2000,0.1120,0.0502,0.0106,0.1200,0.7400,0.0000,4.0677,6.00,50,5
oracle_mujoco_grid,seen_simple,1.0000,0.0000,0.0192,0.0046,0.0000,0.0000,0.0000,2.5998,6.00,50,5
oracle_mujoco_grid,slippery_contact,0.9000,0.0840,0.0546,0.0079,0.0600,0.0000,0.0000,2.5695,6.00,50,5
oracle_mujoco_grid,task_constraint_shift,0.8600,0.0972,0.0456,0.0076,0.1000,0.0000,0.0000,2.2906,6.00,50,5
oracle_mujoco_grid,unseen_dimensions,0.9800,0.0392,0.0288,0.0067,0.0200,0.0000,0.0000,3.6665,6.00,50,5
oracle_mujoco_grid,unseen_shape_family,1.0000,0.0000,0.0235,0.0043,0.0000,0.0000,0.0000,2.4825,6.00,50,5
random_grasp,clutter_collision,0.0800,0.0760,0.0735,0.0096,0.4600,0.9200,0.0000,1.6933,1.00,50,5
random_grasp,combined_composition_shift,0.0200,0.0392,0.1144,0.0198,0.8000,0.9400,0.0000,1.7493,1.00,50,5
random_grasp,seen_simple,0.8000,0.1120,0.0688,0.0095,0.0400,0.0000,0.0000,2.0349,1.00,50,5
random_grasp,slippery_contact,0.3800,0.1359,0.0867,0.0088,0.4800,0.0000,0.0000,1.7242,1.00,50,5
random_grasp,task_constraint_shift,0.1600,0.1026,0.0811,0.0084,0.6600,0.0000,0.0000,1.6173,1.00,50,5
random_grasp,unseen_dimensions,0.4600,0.1396,0.0776,0.0092,0.4800,0.0000,0.0000,1.5791,1.00,50,5
random_grasp,unseen_shape_family,0.3400,0.1326,0.0643,0.0103,0.0000,0.0000,0.0000,2.6059,1.00,50,5
transformer_policy_ranker,clutter_collision,0.4200,0.1382,0.0546,0.0110,0.1400,0.5000,0.0000,2.4402,1.00,50,5
transformer_policy_ranker,combined_composition_shift,0.0600,0.0665,0.0757,0.0106,0.4200,0.9000,0.0000,2.7368,1.00,50,5
transformer_policy_ranker,seen_simple,0.9600,0.0549,0.0511,0.0082,0.0000,0.0000,0.0000,2.4599,1.00,50,5
transformer_policy_ranker,slippery_contact,0.8600,0.0972,0.0516,0.0090,0.1200,0.0000,0.0000,1.9911,1.00,50,5
transformer_policy_ranker,task_constraint_shift,0.8800,0.0910,0.0614,0.0092,0.0200,0.0000,0.0000,1.6120,1.00,50,5
transformer_policy_ranker,unseen_dimensions,0.8600,0.0972,0.0536,0.0099,0.0200,0.0000,0.0000,1.9270,1.00,50,5
transformer_policy_ranker,unseen_shape_family,0.9400,0.0665,0.0524,0.0085,0.0000,0.0000,0.0000,3.0374,1.00,50,5
